lon_wgs84,lat_wgs84,case,name,office_count,residential_count,mall_count,metro_station_count,dist_to_nearest_luckin,dist_to_nearest_starbucks,dist_to_nearest_metro_exit
118.16803569688996,24.48123506679254,1,瑞幸咖啡(厦门才子汇店),26,23,0,0,448.0448563186048,740.9593544692963,617.2215386411582
118.07009920272458,24.455882402643372,1,瑞幸咖啡(瑞幸咖啡中山路旗舰店),11,20,4,0,153.60162913099114,88.91587036123137,779.1768452257037
118.18594796622952,24.477643426840256,1,瑞幸咖啡(厦门国际金融中心店),19,7,6,0,125.64887224831664,139.42783129890572,788.3083781311565
118.10995432130478,24.472331358125366,1,瑞幸咖啡(中闽百汇梧村店),28,41,9,1,189.83260631727953,242.38011204335504,41.043530739488176
118.13476029320758,24.48549128227548,1,瑞幸咖啡(启达时尚大厦店),18,37,0,0,801.9308703254305,514.2367451225883,921.9527921840358
118.09089676923693,24.489046214935076,1,瑞幸咖啡(厦门欢乐颂购物中心店),17,24,1,0,233.17709529743908,38.97636936108827,656.5265907737154
118.11321920733089,24.47712763074507,1,瑞幸咖啡(二轻大厦店),38,69,5,1,215.43008515417552,187.73481237107444,140.33665947874917
118.11304973599684,24.480489041108466,1,luckin coffee 瑞幸咖啡(富山名士园店),28,54,3,1,158.16746331236794,528.49326846389,166.28016578810715
118.13942125440812,24.500051641843882,1,瑞幸咖啡(后埔发展中心店),5,47,0,0,388.35702190736896,1728.9218473713158,758.6387929418685
118.13455865200551,24.516574386190477,1,luckin coffee 瑞幸咖啡(军梦双拥双创科技园店),15,24,0,1,923.2875529970368,1404.5870082299489,440.84337094641734
118.12022692404,24.502017043905752,1,瑞幸咖啡(厦门SM新生活广场店),10,28,12,1,277.20259566766185,7.969814320687794,71.73856067252576
118.13698516787726,24.539133659978038,1,瑞幸咖啡(航空商务广场店),10,1,0,0,717.1496022947823,975.6336614315367,1874.7530796835917
118.08255579630813,24.44236940537048,1,瑞幸咖啡(沙坡尾店),5,27,2,1,423.79016294837425,434.58973650453606,1291.2066703092175
118.08889657050985,24.483080573809534,1,luckin coffee 瑞幸咖啡(石亭小区店),8,10,0,1,691.0197336180074,727.0486529611528,49.52214389221781
118.16988808734484,24.48494715120981,1,瑞幸咖啡(国金广场店),30,19,2,1,349.7252784390806,298.2314390394075,185.58657658841628
118.07385134474302,24.493930181284412,1,瑞幸咖啡(海上世界2号楼店),5,12,2,0,224.82277469982793,317.73178570586003,621.7858709164481
118.11773457945867,24.479631103147383,1,瑞幸咖啡(明发商业广场南区店),27,44,5,1,396.3881682696281,542.3774464557832,412.36320211351716
118.12770809651151,24.501934891329764,1,瑞幸咖啡(台商会馆店),9,30,4,0,435.4033027581803,646.4193382887916,549.0493077556584
118.10078796379739,24.512825719195767,1,瑞幸咖啡(湖里公园地铁公寓店),24,21,0,2,685.5893421780532,124.26107858933831,329.3464437899274
118.18565835508348,24.490810999806623,1,瑞幸咖啡(瑞达国际金融中心店),17,10,0,1,413.9372746991492,760.9781405771948,310.6039925162357
118.15169841414226,24.532868712186126,1,瑞幸咖啡(首泰国际广场店),54,11,1,0,197.77819906014938,459.97088168934107,722.841132043063
118.15340532680447,24.479956573455723,1,瑞幸咖啡(厦门加州城市广场店),6,23,5,0,341.0649133315004,293.8840411197423,1013.0627770402994
118.13554445208533,24.478285300508418,1,瑞幸咖啡(厦门金鸡亭店),5,32,0,0,801.9308703254305,1122.3319253847383,1594.3416453607465
118.10009208015137,24.433747186984327,1,瑞幸咖啡(曾厝垵店),0,6,0,1,348.22538238073645,1015.579453231689,3057.955597286044
