id,name,type,typecode,address,adname,longitude,latitude,location,lon_wgs84,lat_wgs84
B0250040GW,东方明珠广场,商务住宅;住宅区;住宅小区,120302,嘉禾路217-221号,思明区,118.121764,24.483858,"118.121764,24.483858",118.11681268425652,24.486515309525213
B025004LD5,信和·上筑,商务住宅;住宅区;住宅小区,120302,嘉禾路279号(莲花路口地铁站3号口步行270米),思明区,118.124366,24.485949,"118.124366,24.485949",118.11941857906719,24.488609220860745
B0250040LK,市政宿舍,商务住宅;住宅区;宿舍,120303,莲岳路102-106号,思明区,118.118208,24.487714,"118.118208,24.487714",118.11325130129238,24.490368754148804
B02500S2YQ,台亚大厦,商务住宅;住宅区;住宅小区,120302,嘉禾路285号(莲花路口地铁站3号口步行330米),思明区,118.124983,24.486344,"118.124983,24.486344",118.12003654687736,24.48900492920494
B0FFFET6IX,长青北里,商务住宅;住宅区;住宅小区,120302,松柏路,思明区,118.120286,24.490262,"118.120286,24.490262",118.11533204168734,24.49291892238521
B0JDOZCWWM,筼筜悦府,商务住宅;住宅区;住宅小区,120302,莲岳路与常明路交叉口西南80米,思明区,118.118515,24.484355,"118.118515,24.484355",118.11355896369234,24.487009491986782
B025003RIQ,百合花园,商务住宅;住宅区;住宅小区,120302,莲岳路77-1号(莲花路口地铁站1B口步行240米),思明区,118.120163,24.48332,"118.120163,24.483320",118.11520936255057,24.485975751515472
B02500424J,永升华庭,商务住宅;住宅区;住宅小区,120302,湖滨北路185-191号,思明区,118.12445,24.489274,"118.124450,24.489274",118.11950247516873,24.49193481375241
B0LAZ1X9QN,莲兴里,商务住宅;住宅区;住宅小区,120302,莲岳路与常明路交叉口南120米,思明区,118.11958,24.483796,"118.119580,24.483796",118.1146254937252,24.486451311845407
B025002RRY,阳光花园,商务住宅;住宅区;住宅小区,120302,长青路520-524号(吕厝地铁站3号口步行200米),思明区,118.123982,24.489869,"118.123982,24.489869",118.11903368473098,24.492529419034447
B0250040LU,世嘉花园,商务住宅;住宅区;住宅小区,120302,松柏路松柏别墅对面,思明区,118.121374,24.490805,"118.121374,24.490805",118.11642160118161,24.49346299999934
