lon_wgs84,lat_wgs84,name,case,office_count,residential_count,mall_count,metro_station_count,dist_to_nearest_luckin,dist_to_nearest_starbucks,dist_to_nearest_metro_exit
118.11773457945866,24.479631103147387,瑞幸咖啡(明发商业广场南区店),1,27,44,5,1,396.3881682696281,542.3774464557832,412.3632021135172
118.12770809651153,24.501934891329764,瑞幸咖啡(台商会馆店),1,9,30,4,0,435.4033027581803,646.4193382887916,549.0493077556584
118.1007879637974,24.51282571919577,瑞幸咖啡(湖里公园地铁公寓店),1,24,21,0,2,685.5893421780532,124.26107858933831,329.3464437899274
118.18565835508348,24.49081099980662,瑞幸咖啡(瑞达国际金融中心店),1,17,10,0,1,413.9372746991492,760.9781405771948,310.6039925162356
118.15169841414227,24.53286871218613,瑞幸咖啡(首泰国际广场店),1,54,11,1,0,197.77819906014938,459.97088168934107,722.8411320430631
118.15340532680446,24.479956573455727,瑞幸咖啡(厦门加州城市广场店),1,6,23,5,0,341.0649133315004,293.8840411197423,1013.0627770402994
118.13554445208534,24.478285300508414,瑞幸咖啡(厦门金鸡亭店),1,5,32,0,0,801.9308703254305,1122.3319253847383,1594.3416453607465
118.10009208015136,24.433747186984327,瑞幸咖啡(曾厝垵店),1,0,6,0,1,348.22538238073645,1015.579453231689,3057.955597286044
118.11521106197073,24.518072267384788,瑞幸咖啡(日华国际大厦店),1,39,18,1,1,279.67555905948154,1013.6054314678593,318.50855523595646
118.17033571748458,24.477779842103608,瑞幸咖啡(莲前集团大厦店),1,14,22,0,0,448.0448563186048,1024.4066696415744,980.1952455479768
118.1392588376649,24.5288940931785,瑞幸咖啡(火炬新科广场店),1,11,27,0,0,539.2371083840023,46.6781920601928,722.2558267235862
118.11805988687814,24.552031638694828,瑞幸咖啡(机场北院儿里店),1,16,8,0,0,328.2336185119861,79.96873287799787,1382.6438154233742
118.14543043988743,24.534076855489925,瑞幸咖啡(清华海峡研究院店),1,15,22,1,0,487.0623302049662,895.3731658464475,1049.078838685584
118.1796265265972,24.50957185892748,瑞幸咖啡(鼎丰财富中心店),1,26,11,2,0,181.39205232111703,68.35265724219414,750.0207600200689
118.1870586093868,24.477139279568014,瑞幸咖啡(JFC品尚中心店),1,19,5,6,0,125.64887224831664,122.49169406987534,902.1929511190933
118.13946507230636,24.503955260965345,瑞幸咖啡(祥店国贸阳光店),1,5,23,0,0,432.3074435729346,1775.9145552887876,1113.432031771589
118.1450519159818,24.515083954156232,瑞幸咖啡(永建顶尚店),1,11,16,0,0,1016.8768504502087,1032.486594376908,716.7804649284144
118.10031274557012,24.468730887561584,瑞幸咖啡(中石化文灶店),1,21,59,2,1,351.7875791965249,473.36332838978365,93.84191286894703
118.15155344293736,24.527538847641154,瑞幸咖啡(锦厦科技大厦店),1,57,28,0,1,101.58511907287472,907.5928413476179,132.77501545928206
118.12816023110054,24.498024923385632,瑞幸咖啡(华永天地店),1,18,38,3,0,366.82175075690407,756.3827886052588,516.422256300409
118.15583904640852,24.511630669386353,瑞幸咖啡(厦门汇盈大厦店),1,7,11,3,0,305.40369267820023,181.03544790805694,1544.7122963680451
118.14182079575988,24.497317127813513,瑞幸咖啡(厦门日报社新闻大厦店),1,7,55,0,0,388.35702190736896,1375.843011399528,486.0879444977422
118.0989133937315,24.52809905555969,瑞幸咖啡(翔鹭花城店),1,7,30,0,0,684.7285654522159,683.3440299380632,1166.956401245697
118.15089263437768,24.48838138007188,luckin coffee 瑞幸咖啡(厦门蔡塘爱琴海购物中心店),1,5,10,3,1,967.0877044574917,26.181279480702287,188.23438236309144
118.120316384157,24.427779035750586,瑞幸咖啡(曾厝垵店),1,0,0,0,0,1320.5882633502108,213.80722272345565,4682.55649189291
118.15576928034451,24.477764534356822,瑞幸咖啡(瑞景商业广场店),1,7,25,5,0,341.0649133315004,58.18072996251721,1169.902068709672
