id,name,type,typecode,address,adname,longitude,latitude,location,lon_wgs84,lat_wgs84
B0FFFHCCSV,旭日辽海大厦,商务住宅;楼宇;商务写字楼,120201,岐山路,湖里区,118.157369,24.530007,"118.157369,24.530007",118.15248733815325,24.532722116338793
B0L2AC21E6,旭日辽海大厦B座,商务住宅;楼宇;商务写字楼,120201,岐山路旭日辽海大厦,湖里区,118.157075,24.530325,"118.157075,24.530325",118.15219259974162,24.533039620013053
B0FFK8DB57,冠寓A座,商务住宅;楼宇;商务写字楼,120201,岭下西路263号冠寓(高新园店),湖里区,118.156411,24.529971,"118.156411,24.529971",118.15152701256123,24.532684384117935
B0FFLI0L9Y,中海福林集团大厦,商务住宅;楼宇;商务写字楼,120201,岭下路与护安路交叉口西60米,湖里区,118.154321,24.530151,"118.154321,24.530151",118.14943196281565,24.53286067339607
B0FFF3XI4L,宏益华集团总部大楼,商务住宅;楼宇;商务写字楼,120201,岐山路与岭下路交叉口东南120米,湖里区,118.158714,24.530243,"118.158714,24.530243",118.15383560861117,24.532960586387684
B0FFI36DPY,任我游科技大厦,商务住宅;楼宇;商务写字楼,120201,岐山北路223号,湖里区,118.151093,24.533002,"118.151093,24.533002",118.14619610863087,24.535706343853374
B0FFKQXOGQ,凌云玉石总部大厦B栋,商务住宅;楼宇;商务写字楼,120201,护安路652号凌云玉石总部大厦,湖里区,118.155512,24.52968,"118.155512,24.529680",118.15062585937036,24.532391740164964
B0JA75S0VV,陶朗,商务住宅;楼宇;商务写字楼,120201,围里北路418号,湖里区,118.151944,24.53118,"118.151944,24.531180",118.14704923931026,24.533885617387696
B0LR01OKGJ,旭日辽海大厦A栋,商务住宅;楼宇;商务写字楼,120201,辽海国际,湖里区,118.157375,24.530025,"118.157375,24.530025",118.15249335148556,24.532740129191406
B0L2S64LVH,瑞丰里商业广场B号楼,商务住宅;楼宇;商务写字楼,120201,钟岭路68号瑞丰里商业美食广场,湖里区,118.160753,24.531768,"118.160753,24.531768",118.15587952058377,24.534489494058732
B0FFKYY9E2,凌云玉石总部大厦A栋,商务住宅;楼宇;商务写字楼,120201,禾山街道护安路652号凌云玉石总部大厦A栋2楼,湖里区,118.155683,24.529304,"118.155683,24.529304",118.15079729890167,24.532016004073284
B0L1TL425B,新都国际3T,商务住宅;住宅区;住宅小区|商务住宅;楼宇;商务写字楼,120302|120201,岭下路与钟岭路交叉口东北100米,湖里区,118.161075,24.531775,"118.161075,24.531775",118.15620231667285,24.534497088973612
B0GK9AN4VQ,凌云玉石总部大厦652号楼,商务住宅;楼宇;商务写字楼,120201,凌云玉石总部大厦B栋,湖里区,118.155459,24.529637,"118.155459,24.529637",118.1505727346166,24.532348640689786
