lon_wgs84,lat_wgs84,case,pred_proba,pearson_residual,lisa_raw,lisa_fdr,lisa_p_sim,lisa_q
118.09658837269286,24.513479469354905,0,0.3952176999585345,-0.808385764398587,ns,ns,0.231,3
118.18379403125044,24.498591271609097,0,0.0954813447893849,-0.3249005895298739,ns,ns,0.084,2
118.10923202068032,24.46932286539213,0,0.4399678393451308,-0.886347414107418,ns,ns,0.228,3
118.1419300548605,24.518013587229305,0,0.0727245911243282,-0.280050448697494,ns,ns,0.363,2
118.10710675246057,24.525770926814253,0,0.2290712543496991,-0.5451025042348199,ns,ns,0.289,2
118.1576627188228,24.540367674272133,0,0.085676826005019,-0.3061130333642923,ns,ns,0.181,3
118.18029961878878,24.4911227196082,0,0.1002060830412072,-0.3337148376837724,ns,ns,0.174,2
118.08681210572844,24.522355287824073,0,0.1101217786654111,-0.3517801418310451,ns,ns,0.489,3
118.1231333875816,24.55705299651367,0,0.1280014506953307,-0.3831330038962235,ns,ns,0.313,2
118.102280757136,24.474422058370916,0,0.203256801856343,-0.5050837098010043,ns,ns,0.486,3
118.08279700696647,24.498818672767285,0,0.0783926722379065,-0.2916518763595114,ns,ns,0.217,3
118.07821145917605,24.49335240765552,0,0.0767874779001069,-0.2883994039304872,ns,ns,0.395,2
118.18256830016712,24.534810700845647,0,0.2177254029525067,-0.5275637391843028,ns,ns,0.495,3
118.1360998133076,24.49096347019611,0,0.0937201745094901,-0.3215773026765132,ns,ns,0.148,3
118.18084284103844,24.51205575440491,0,0.2636329070965987,-0.5983463183892294,ns,ns,0.242,2
118.11493156163657,24.433058671819783,0,0.2614348377570882,-0.5949593863613026,LL,ns,0.016,3
118.12896713421418,24.49680721860189,0,0.1902548303207965,-0.4847230395943205,ns,ns,0.164,2
118.07618077337092,24.49390847528904,0,0.0872268207750918,-0.30913173164941,ns,ns,0.15,2
118.1406672724756,24.510274848256397,0,0.0577994641483326,-0.2476795971509284,ns,ns,0.264,3
118.13687288011398,24.465592675431555,0,0.0321018784882024,-0.1821169631716677,ns,ns,0.23,2
118.18671885445076,24.518593155936156,0,0.0592991107803731,-0.2510720179714252,ns,ns,0.225,3
118.08076130016282,24.45526111727801,0,0.4459376570782261,-0.8971349104204924,ns,ns,0.346,2
118.14200690630268,24.521239035314643,0,0.0956800547364423,-0.3252742264867536,ns,ns,0.19,3
118.11187383544008,24.5273842679127,0,0.0927265779050725,-0.3196929225215414,ns,ns,0.472,3
118.18975633998484,24.519684893084317,0,0.0603389107003754,-0.2534037929333468,ns,ns,0.221,3
118.13302396090224,24.486978744778337,0,0.2265688982627742,-0.541239308233534,ns,ns,0.371,3
118.11478026196758,24.50863091888929,0,0.172889346863679,-0.4571958815047867,ns,ns,0.247,2
118.12782184734988,24.497229519228313,0,0.1876618430840723,-0.4806396138137889,ns,ns,0.188,2
118.15443662851622,24.54438139641256,0,0.0668981097686299,-0.2677579589163236,ns,ns,0.359,2
118.11437571082328,24.53002235157123,0,0.071577476437108,-0.2776613030056607,ns,ns,0.392,2
118.10950859200264,24.5519524765326,0,0.0781959216838311,-0.2912545635507894,ns,ns,0.214,3
118.19021665588464,24.48065909409489,0,0.1710257622310154,-0.454213721979807,LH,ns,0.04,2
118.13515022773268,24.53713295944658,0,0.1055068846987243,-0.343440809232808,ns,ns,0.097,2
118.10627254014138,24.54694621567456,0,0.0702686691395737,-0.2749173385645427,ns,ns,0.231,3
118.15488793158724,24.483422873049296,0,0.1136261754137536,-0.3580393278782715,ns,ns,0.412,3
118.10208770358167,24.466403710818312,0,0.1351951727515051,-0.3953862297878817,ns,ns,0.416,2
