lon_wgs84,lat_wgs84,name,case,office_count,residential_count,mall_count,metro_station_count,dist_to_nearest_starbucks,dist_to_nearest_luckin,dist_to_nearest_metro_exit
118.1873872368866,24.47912917499411,星巴克(厦门君尚广场分店),1,16,5,6,0,315.1647531399666,72.08178217273452,774.347335556078
118.12056448178988,24.501942394705026,星巴克臻选(厦门SM三期分店),1,10,27,12,1,42.08888212827479,35.18908069202355,52.06562615696372
118.16321755279309,24.495833224871287,星巴克厦门航空古地石广场店,1,4,19,2,0,955.672246497634,948.8286224861454,905.1351702981193
118.08674414412393,24.510414067659873,星巴克(厦门山姆会员商店店),1,26,15,1,0,691.7319343838343,525.2867844985444,1413.2741921177962
118.10157656865113,24.51368510098325,星巴克(湖里公园TOD·地铁公寓店),1,23,23,0,2,903.1124700968647,124.26107858933831,278.62980514004005
118.14196760404086,24.546673357842252,星巴克(厦门高崎机场T4分店),1,0,0,0,0,1916.2830817938875,166.91294015820176,2080.341553637584
118.1862327291373,24.47633170839733,星巴克咖啡(厦门JFC品尚中心店),1,18,6,6,0,238.19643589433983,122.49169406987534,924.1578859649263
118.12242389920846,24.42784637295514,星巴克咖啡(厦门宝嘉CCpark店),1,0,0,0,0,814.1802634968451,213.80722272345565,4797.807669976903
118.11828530069398,24.509362047128977,星巴克(塘边宝龙天地店),1,8,43,1,1,598.5655421146112,27.561978757972334,35.940759257867064
118.11806985045362,24.552753714964293,星巴克(海湾社区泊寓·院儿店),1,17,8,0,0,1958.3671052726893,79.96873287799787,1454.7008503975717
118.0895270171753,24.4375912350776,星巴克臻选(厦门厦大访客中心分店),1,5,17,2,1,591.4404665544693,356.4254101190537,2063.834958737067
118.18688034277857,24.531740526689628,星巴克(砂之船奥莱店),1,14,2,2,0,617.8766619317875,16.302551986643632,1575.5577719389594
118.07022605511936,24.484588190302713,星巴克(厦门国际邮轮中心店),1,8,10,0,1,939.5917903159168,265.37671963008853,344.9424801563044
118.17919744377848,24.510048137776263,星巴克(燕来福医院分店),1,25,12,2,0,426.8874937702061,68.35265724219414,733.2139311850849
118.10783188163396,24.47132279902432,星巴克厦门罗宾森店,1,28,41,8,1,95.95626641729378,112.86373373783547,110.13745365527947
118.06660842268523,24.447072617382215,星巴克(厦门鼓浪屿龙头路分店),1,0,11,1,0,963.6798909237604,115.2287243354486,1239.1808358802214
118.17189096794245,24.486920228603903,星巴克(软件园生活广场分店),1,24,11,2,1,373.71401319191665,61.18654382456039,199.78291806133183
118.1808258344631,24.53241383658739,星巴克(恒安国际中心店),1,19,8,0,0,617.8766619317875,129.89871176048908,1388.227082772264
118.1705048401606,24.504765984832023,(control),0,10,16,1,0,258.01651950159743,153.2509795396128,1762.8091109291602
118.15009758153337,24.52031216137895,(control),0,5,15,0,0,738.7276876776041,463.79255978257186,522.0997167559511
118.0847199048194,24.445764339023775,(control),0,1,43,0,1,797.2555549898483,435.27434932613056,1037.5718954942947
118.10380778248938,24.49426556099665,(control),0,10,17,2,0,414.3320227733052,301.94511722209677,547.2348980914729
118.10192146864149,24.471759957254104,(control),0,24,53,2,1,402.5107655502183,239.06705263310707,312.7487485386824
118.12748147833192,24.531267448530137,(control),0,6,14,0,0,610.8291610989149,191.18602905275696,1287.815053090608
118.08750297603422,24.49277053637211,(control),0,3,16,0,0,505.0980486417534,456.63685322101225,1031.530630583887
118.15110015246647,24.443934220519434,(control),0,0,4,0,0,3409.7012315678003,441.47505607818204,4940.186282953408
118.1630577335081,24.482244552442992,(control),0,7,33,0,0,930.8719032889958,516.7356011087,735.3205581601395
118.0753976761829,24.490062734389834,(control),0,11,38,1,1,566.1431527419641,456.037334656913,360.5120930049969
118.1049723580956,24.49359940498099,(control),0,18,20,3,0,317.82922498182637,166.0819921986683,645.8320674191957
118.14161453965603,24.445970355549257,(control),0,0,3,0,0,2795.240519453987,1415.3026600203966,4223.082353475609
118.1665854235258,24.523286666995002,(control),0,0,10,0,1,1033.1672393446806,1104.7297061680358,442.1119489486977
118.11226256351044,24.436168518234656,(control),0,12,22,0,1,267.84019759146236,206.02411909983968,3461.1648003032715
118.19094804785176,24.50826692535794,(control),0,5,4,0,1,1206.8583303999812,995.6461688708254,167.5975108148079
118.17013252884422,24.510292974107042,(control),0,4,14,2,0,480.60278763994876,362.5269244632274,1242.0915701546069
118.17499408501031,24.49945463907804,(control),0,0,1,0,0,819.4000120722311,592.1364137836141,1317.6134570732256
