id,name,type,typecode,address,adname,longitude,latitude,location
B0G3ZSSIN9,江头商城西区,购物服务;商场;普通商场,060102,江头西路185号(乌石浦地铁站2号口步行210米),湖里区,118.129314,24.498098,"118.129314,24.498098"
B025002M5Q,京华城百货商场(小东山分店),购物服务;商场;普通商场,060102,小东山社8号(小东山地铁站3号口步行300米),湖里区,118.127584,24.513908,"118.127584,24.513908"
B0J1ZRPTCJ,嘉禾新天地,购物服务;商场;商场,060100,火炬路1号,湖里区,118.119287,24.512903,"118.119287,24.512903"
B02500S7WU,雪梨广场,购物服务;商场;购物中心,060101,兴隆路728号(小东山地铁站3号口步行480米),湖里区,118.128215,24.512136,"118.128215,24.512136"
B0FFGXOFM9,万翔商城,购物服务;商场;商场,060100,机场北路476号,湖里区,118.127025,24.546625,"118.127025,24.546625"
B0IR213RGQ,裏海商贸中心,购物服务;商场;普通商场,060102,塔头路与环岛南路辅路交叉口西北40米,思明区,118.142554,24.432016,"118.142554,24.432016"
B02500T7A0,江头商品城,购物服务;商场;商场,060100,江头西路13-19号新景园,湖里区,118.130480,24.493320,"118.130480,24.493320"
B0I3JR9IHO,天猫优品电器体验店(江头建材市场店),购物服务;商场;商场,060100,江头建材市场东一区201号,湖里区,118.136938,24.499911,"118.136938,24.499911"
B0FFFQ7EIL,民兴商城,购物服务;综合市场;蔬菜市场|购物服务;商场;普通商场,060705|060102,禾山路9-19号,湖里区,118.133580,24.500114,"118.133580,24.500114"
B0FFLAZQJL,枋湖文旅中心,购物服务;商场;普通商场,060102,金湖路5号枋湖客运中心二楼,湖里区,118.138669,24.508737,"118.138669,24.508737"
B0FFFT7V2O,华永天地商业广场,购物服务;商场;普通商场,060102,台湾街288-29号,湖里区,118.133295,24.495526,"118.133295,24.495526"
B0FFK1Q6KH,339欢乐埕,购物服务;商场;普通商场,060102,园山南路796号,湖里区,118.130240,24.506019,"118.130240,24.506019"
B02500ST0B,嘉扬百货安兜购物中心,购物服务;商场;购物中心,060101,安福街与安渠巷交叉口南240米,湖里区,118.134907,24.523088,"118.134907,24.523088"
B0FFF9TPYP,林后艺术公社,购物服务;商场;普通商场|科教文化服务;科教文化场所;科教文化场所,060102|140000,金尚路林后社249号二楼至三楼,湖里区,118.139452,24.528241,"118.139452,24.528241"
B0FFGDYGHJ,瑞景商业广场D区,购物服务;商场;购物中心,060101,莲前街道莲前东路288号瑞景商业广场D区2楼,思明区,118.159479,24.474261,"118.159479,24.474261"
B025003N2E,瑞景商业广场(莲前东路),购物服务;商场;购物中心,060101,莲前东路288号,思明区,118.159704,24.475070,"118.159704,24.475070"
B02500SMYM,来雅百货(瑞景商业广场店),购物服务;商场;普通商场|购物服务;超级市场;超市,060102|060400,莲前东路288号瑞景商业广场3F层,思明区,118.159719,24.474157,"118.159719,24.474157"
B0L1FR0G91,瑞景商业广场A区,购物服务;商场;购物中心,060101,莲前街道莲前东路288号瑞景商业广场A区负一楼,思明区,118.158642,24.475489,"118.158642,24.475489"
B025003JXD,加州商业广场,购物服务;商场;购物中心,060101,莲前东路123号,思明区,118.158174,24.477278,"118.158174,24.477278"
B0FFH1V70D,天猫优品电器体验店(蔡塘爱琴海店),购物服务;商场;商场|购物服务;家电电子卖场;家电电子卖场,060100|060300,吕岭路968号蔡塘爱琴海购物广场二楼,湖里区,118.156125,24.485575,"118.156125,24.485575"
B0FFFQ78QO,厦门蔡塘爱琴海购物中心,购物服务;商场;购物中心,060101,吕岭路968号(蔡塘地铁站4B口步行400米),湖里区,118.156300,24.485380,"118.156300,24.485380"
B0L2B5KMWY,厦门蔡塘爱琴海购物中心B区,购物服务;商场;购物中心,060101,江头街道吕岭路968号厦门蔡塘爱琴海购物中心B区负一楼,湖里区,118.156175,24.485525,"118.156175,24.485525"
B0IBO5GADD,餘年号湖心荟,购物服务;商场;商场,060100,万科湖心岛湖心一里D101物业旁,湖里区,118.161986,24.491661,"118.161986,24.491661"
B0FFIA4D9C,益民商场(后坑店),购物服务;便民商店/便利店;便民商店/便利店|购物服务;超级市场;超市|购物服务;商场;商场,060200|060400|060100,果园路与后秀路交叉口南60米,湖里区,118.157705,24.498425,"118.157705,24.498425"
B0FFKRFFWR,健福兴购物商场(穆厝社店),购物服务;超级市场;超市|购物服务;商场;商场,060400|060100,吉姆穆厝社337号,湖里区,118.156700,24.510450,"118.156700,24.510450"
B0FFJSN6HK,天虹购物中心(五缘湾店),购物服务;商场;购物中心,060101,金湖路516号,湖里区,118.160382,24.509873,"118.160382,24.509873"
B0IUMMKNSD,湾悦城购物中心,购物服务;商场;购物中心,060101,枋湖路与钟宅西二路交叉口南180米,湖里区,118.161605,24.515766,"118.161605,24.515766"
B02500QTU6,五缘湾悦都汇购物中心,购物服务;商场;购物中心|购物服务;商场;普通商场,060101|060102,金湖路101号,湖里区,118.160210,24.511983,"118.160210,24.511983"
B0IGMLGIXN,瑞丰里商场(瑞丰里商业美食广场店),购物服务;商场;普通商场,060102,钟岭路68号国际石材中心,湖里区,118.161092,24.532148,"118.161092,24.532148"
B0HGVORTZ4,Yealink(厦门亿联研发大楼店),购物服务;商场;商场,060100,岭下北路1号厦门亿联研发大楼F1层,湖里区,118.154575,24.532325,"118.154575,24.532325"
B0H2USPEWA,前埔生活广场,购物服务;商场;普通商场,060102,文兴东三里1-2,思明区,118.172735,24.468330,"118.172735,24.468330"
B0KD2ZXRKN,万象荟,购物服务;商场;普通商场,060102,莲前东路1736号,思明区,118.178613,24.468301,"118.178613,24.468301"
B0FFG6OC6N,宝龙一城,购物服务;商场;购物中心,060101,金山路1号(岭兜地铁站1A口步行50米),思明区,118.172970,24.485801,"118.172970,24.485801"
B0FFIZ6XS3,软件园生活广场,购物服务;商场;购物中心,060101,岭兜西路623号(岭兜地铁站3号口步行290米),思明区,118.176763,24.484360,"118.176763,24.484360"
B0FFLBCU8Q,航空古地石广场B区,购物服务;商场;普通商场|商务住宅;楼宇;商务写字楼,060102|120201,航空古地石广场,湖里区,118.167314,24.490613,"118.167314,24.490613"
B0FFK8CHMP,航空古地石广场,购物服务;商场;普通商场,060102,金边路与观日西路交叉口南220米,湖里区,118.167913,24.491899,"118.167913,24.491899"
B0FFHIXB0T,佰翔商业广场,购物服务;商场;商场,060100,前埔观日路1号厦门市软件园,思明区,118.175971,24.490078,"118.175971,24.490078"
B025004GJM,万达广场(厦门湖里店),购物服务;商场;购物中心,060101,仙岳路4666号,湖里区,118.177299,24.504657,"118.177299,24.504657"
B0HD47I2W9,高林市集,购物服务;商场;普通商场,060102,高林新城南区1号楼,湖里区,118.175661,24.508824,"118.175661,24.508824"
B0FFIPFRD6,银泰百货(国贸中心店),购物服务;商场;普通商场,060102,仙岳路4688号国贸中心·美岁城,湖里区,118.180080,24.506943,"118.180080,24.506943"
B0H2H1LNCM,新景地下商城,购物服务;商场;普通商场,060102,佐世保路与惠灵顿路交叉口东北200米,湖里区,118.165366,24.540033,"118.165366,24.540033"
B0FFGXHTVB,JFC A馆,购物服务;商场;购物中心|购物服务;商场;普通商场|购物服务;专卖店;专营店,060101|060102|061200,莲前街道环岛东路1701号JFC A馆A栋三楼,思明区,118.191100,24.473370,"118.191100,24.473370"
B0FFGXSU1R,JFC品尚中心,购物服务;商场;购物中心,060101,环岛东路1701号,思明区,118.191345,24.473799,"118.191345,24.473799"
B0FFG7WEPU,JFC品尚中心C馆,购物服务;商场;购物中心,060101,莲前街道环岛东路1705号JFC品尚中心C馆三楼,思明区,118.191906,24.474478,"118.191906,24.474478"
B0JD1AXAUA,JFC品尚中心B馆,购物服务;商场;普通商场,060102,环岛东路1701号JFC品尚中心,思明区,118.191449,24.474585,"118.191449,24.474585"
B0H0VAY1AO,厦门星河COCO Park,购物服务;商场;普通商场,060102,展鸿路81-89号,思明区,118.189093,24.474718,"118.189093,24.474718"
B0FFLAH09T,天虹购物中心(会展北店),购物服务;商场;购物中心|购物服务;家电电子卖场;手机销售|购物服务;服装鞋帽皮具店;服装鞋帽皮具店,060101|060305|061100,环岛东路1803号,思明区,118.192456,24.476717,"118.192456,24.476717"
B0FFIJUNL0,FUN专柜(九牧王国际商务中心店),购物服务;商场;免税品店,060103,宜兰路1号九牧王国际商务中心F1层,思明区,118.196640,24.484467,"118.196640,24.484467"
B0FFIVHQB0,万科里,购物服务;商场;普通商场,060102,高林中路523号,湖里区,118.186254,24.508277,"118.186254,24.508277"
B02500SBJM,乐海百货(塔埔店),购物服务;商场;普通商场,060102,塔埔西里269号(东宅地铁站1号口步行240米),思明区,118.192248,24.496280,"118.192248,24.496280"
B0I1NUA4ZX,厦门K11 Select购物艺术中心(建设中),购物服务;商场;购物中心,060101,五缘湾道396号湿地公园TOD,湖里区,118.182701,24.517907,"118.182701,24.517907"
B0G3D72G6S,五通奥莱,购物服务;商场;普通商场|购物服务;服装鞋帽皮具店;服装鞋帽皮具店,060102|061100,环岛东路2488号,湖里区,118.190877,24.529022,"118.190877,24.529022"
B0G2F71P39,五通奥莱B馆,购物服务;商场;普通商场,060102,五通港三路与五通港二路交叉口西100米,湖里区,118.191427,24.528436,"118.191427,24.528436"
